iteration,appName,initial,final,delta
8,lcm,1651556259,1651556787.0,528.0
8,mariadb,1651556259,1651556647.0,388.0
8,mon,1651556259,1651556650.0,391.0
8,mongodb,1651556259,1651556656.0,397.0
8,nbi,1651556259,1651556714.0,455.0
8,nbi-custom-operator,1651556259,1651556768.0,509.0
8,ng-ui,1651556259,1651556685.0,426.0
8,pla,1651556259,1651556631.0,372.0
8,pol,1651556259,1651556698.0,439.0
8,prometheus,1651556259,1651556466.0,207.0
8,ro,1651556259,1651556706.0,447.0
8,zookeeper,1651556259,1651556618.0,359.0
9,grafana,1651558912,1651559336.0,424.0
9,kafka,1651558912,1651559265.0,353.0
9,keystone,1651558912,1651559036.0,124.0
9,lcm,1651558912,1651559417.0,505.0
9,mariadb,1651558912,1651559285.0,373.0
9,mon,1651558912,1651559347.0,435.0
9,mongodb,1651558912,1651559337.0,425.0
9,nbi,1651558912,1651559392.0,480.0
9,nbi-custom-operator,1651558912,1651559456.0,544.0
9,ng-ui,1651558912,1651559367.0,455.0
9,pla,1651558912,1651559368.0,456.0
9,pol,1651558912,1651559351.0,439.0
9,prometheus,1651558912,1651559162.0,250.0
9,ro,1651558912,1651559360.0,448.0
9,zookeeper,1651558912,1651559035.0,123.0
10,grafana,1651516090,1651516522.0,432.0
10,kafka,1651516090,1651516425.0,335.0
10,keystone,1651516090,1651516206.0,116.0
10,lcm,1651516090,1651516481.0,391.0
10,mariadb,1651516090,1651516473.0,383.0
10,mon,1651516090,1651516481.0,391.0
10,mongodb,1651516090,1651516476.0,386.0
10,nbi,1651516090,1651516533.0,443.0
10,nbi-custom-operator,1651516090,1651516596.0,506.0
10,ng-ui,1651516090,1651516498.0,408.0
10,pla,1651516090,1651516501.0,411.0
10,pol,1651516090,1651516504.0,414.0
10,prometheus,1651516090,1651516288.0,198.0
10,ro,1651516090,1651516541.0,451.0
10,zookeeper,1651516090,1651516436.0,346.0
11,grafana,1651561749,1651562174.0,425.0
11,kafka,1651561749,1651562110.0,361.0
11,keystone,1651561749,1651561874.0,125.0
11,lcm,1651561749,1651562129.0,380.0
11,mariadb,1651561749,1651562129.0,380.0
11,mon,1651561749,1651562147.0,398.0
11,mongodb,1651561749,1651561967.0,218.0
11,nbi,1651561749,1651562190.0,441.0
11,nbi-custom-operator,1651561749,1651562276.0,527.0
11,ng-ui,1651561749,1651562147.0,398.0
11,pla,1651561749,1651562150.0,401.0
11,pol,1651561749,1651562173.0,424.0
11,prometheus,1651561749,1651562166.0,417.0
11,ro,1651561749,1651562189.0,440.0
11,zookeeper,1651561749,1651561877.0,128.0
