58d517479cf11d9400c6abf8b2956a8ad6b9f911,DELETE,regular-file,k8s_cluster/charmed_osm_knf/charmed_osm_ns.tar.gz,709,
cdf6f3a6b7a7611acb5686709f53fce3a2944b93,DELETE,regular-file,k8s_cluster/charmed_osm_knf/charmed_osm_vnf.tar.gz,11472089,
f243762c856e58da453ababaab3e27713dec3ed5,DELETE,regular-file,k8s_cluster/k8s_cluster_ns.tar.gz,851,
1913a17a501ee7b47c365d082c6a82222730553b,DELETE,regular-file,k8s_cluster/k8s_cluster_vnf.tar.gz,772303,
ba3f54dcd4e90f5a9a0d5a14ab351f337b8d5c5f,DELETE,regular-file,k8s_cluster/k8s_osm_cluster_ns.tar.gz,729,
13faa88139f3966493bd57b45b39ebcfa2e4bff8,DELETE,regular-file,k8s_cluster/k8s_osm_cluster_vnf.tar.gz,770679,
c6e145f3665d9bbacdc35def7a9e9d16ec5c83f0,DELETE,regular-file,tests/kubernetes_test_vm_master/ns_k8s_master/ns_k8s_master_ns.tar.gz,1210,
60d7bba50c81aeb72ea93a8ad2598fec69a219ba,DELETE,regular-file,tests/kubernetes_test_vm_master/vnf_k8s_master/vnf_k8s_master_vnf.tar.gz,2677,
36733ffe74d2fb5c264a55a0f39baeb60c1b771f,DELETE,regular-file,tests/tutorial/tutorial_ns/tutorial_ns.tar.gz,4085,
944fcec800f66711e4f0fef8418b3c68b9df289f,DELETE,regular-file,tests/tutorial/tutorial_vnf/tutorial_vnf.tar.gz,17115,
